Preprocessor,Model,MAE,RMSE,R2
no_scaling,linear_regression,3.41,4.39,-0.10
standard_scaling,linear_regression,3.41,4.39,-0.10
no_scaling,dummy_regressor,3.06,4.24,-0.02
no_scaling,ridge_extended_train_70,3.16,4.14,0.02
standard_scaling,ridge_extended_train_90,3.12,4.1,0.04
no_scaling_fs,ridge_extended_train_120_select40,3.08,4.1,0.04
standard_scaling_fs,ridge_extended_train_140_select40,3.07,4.06,0.06
no_scaling_fs,ridge_extended_train_80_select20,3.05,4.15,0.02
standard_scaling_fs,ridge_extended_train_110_select15,3.09,4.16,0.01
no_scaling_fs,ridge_extended_train_80_select20,3.05,4.15,0.02
standard_scaling_fs,ridge_extended_train_110_select15,3.09,4.16,0.01
no_scaling_fs,ridge_extended_train_80_select20,3.05,4.15,0.02
standard_scaling_fs,ridge_extended_train_100_select17,3.09,4.17,0.01
no_scaling_fs,ridge_extended_train_80_select17,3.05,4.14,0.02
standard_scaling_fs,ridge_extended_train_100_select17,3.09,4.17,0.01

no_scaling,elastic_net_train_0.4037_mae,3.22,4.25,0.15
standard_scaling,elastic_net_train_0.4037_mae,3.20,4.25,0.15
standard_scaling_poly,elastic_net_train_0.3275_mae,3.07,4.05,0.23
poly_standard_scaling,elastic_net_train_0.1417_mae,2.95,3.88,0.29
no_scaling,elastic_net_extended_train_0.4037_mae,2.92,4.04,0.07
standard_scaling,elastic_net_extended_train_0.4037_mae,2.93,4.01,0.08
standard_scaling_poly,elastic_net_extended_train_0.3275_mae,2.87,3.99,0.09
poly_standard_scaling,elastic_net_extended_train_0.1417_mae,3.13,4.21,-0.01

no_scaling,lasso_train_0.3275_mae,3.21,4.24,0.16
standard_scaling,lasso_train_0.3275_mae,3.20,4.24,0.16
standard_scaling_poly,lasso_train_0.2848_mae,3.07,4.06,0.23
poly_standard_scaling,lasso_train_0.1233_mae,2.95,3.89,0.29
no_scaling,lasso_extended_train_0.3275_mae,2.95,4.04,0.07
standard_scaling,lasso_extended_train_0.3275_mae,2.96,4.02,0.08
standard_scaling_poly,lasso_extended_train_0.2848_mae,2.87,3.98,0.10
poly_standard_scaling,lasso_extended_train_0.1233_mae,3.12,4.21,-0.01

no_scaling,dummy_regressor_train,3.47,4.62,0.0
no_scaling,linear_regression_train,2.98,3.87,0.3
standard_scaling,linear_regression_train,2.98,3.87,0.3
standard_scaling_poly,ridge_train_100_select20_mae,3.01,3.97,0.26
poly_standard_scaling,ridge_train_55_select30_mae,2.95,3.89,0.29
standard_scaling_poly,ridge_extended_train_100_select20_mae,3.06,4.26,-0.03
poly_standard_scaling,ridge_extended_train_55_select30_mae,3.30,4.37,-0.09
no_scaling,ridge_train_100_select20_mae,3.08,4.11,0.21
standard_scaling,ridge_train_100_select20_mae,3.09,4.08,0.22
no_scaling,ridge_extended_train_100_select20_mae,3.02,4.13,0.03
standard_scaling,ridge_extended_train_100_select20_mae,3.12,4.14,0.02
